visit_date,device_category,page_type,event_category,event_action,count_events,holiday,weekend,day_off
2022-07-10,tablet,Other Consumer Pages,Sign In,Sign In,5,0,1,1
2022-07-10,desktop,SRP,Sign In,Sign In,139,0,1,1
2022-07-10,desktop,Other Consumer Pages,Sign In,Sign In,784,0,1,1
2022-07-10,mobile,Other Consumer Pages,Sign In,Sign In,25,0,1,1
2022-07-10,desktop,LDP,Sign In,Sign In,72,0,1,1
2022-07-10,tablet,SRP,Sign In,Sign In,1,0,1,1
2022-07-10,desktop,LDP,Engagement,Share LDP,54,0,1,1
2022-07-10,tablet,LDP,Engagement,Share LDP,16,0,1,1
2022-07-10,mobile,LDP,Engagement,Share LDP,463,0,1,1
2022-07-10,desktop,LDP,Conversion,Lead-Phone,7492,0,1,1
2022-07-10,tablet,SRP,Conversion,Lead-Phone,7,0,1,1
2022-07-10,mobile,SRP,Conversion,Lead-Phone,858,0,1,1
2022-07-10,tablet,LDP,Conversion,Lead-Phone,573,0,1,1
2022-07-10,desktop,Other Consumer Pages,Conversion,Lead-Phone,4,0,1,1
2022-07-10,mobile,Other Consumer Pages,Conversion,Lead-Phone,23,0,1,1
2022-07-10,mobile,LDP,Conversion,Lead-Phone,25467,0,1,1
2022-07-10,desktop,SRP,Conversion,Lead-Phone,231,0,1,1
2022-07-10,mobile,B2B,Engagement,Scroll-PLP,51,0,1,1
2022-07-10,desktop,B2B,Engagement,Scroll-PLP,21,0,1,1
2022-07-10,mobile,LDP,Search,Search B2B,11,0,1,1
2022-07-10,mobile,Other Consumer Pages,Search,Search B2B,86,0,1,1
2022-07-10,mobile,SRP,Search,Search B2B,41,0,1,1
2022-07-10,desktop,B2B,Search,Search B2B,298,0,1,1
2022-07-10,mobile,B2B,Search,Search B2B,243,0,1,1
2022-07-10,desktop,Other Consumer Pages,Search,Search B2B,50,0,1,1
2022-07-10,tablet,B2B,Search,Search B2B,4,0,1,1
2022-07-10,tablet,Other Consumer Pages,Search,Search B2B,2,0,1,1
2022-07-10,mobile,SellerNet,Listing Creation,Click-Submit,2,0,1,1
2022-07-10,desktop,Legacy,Listing Creation,Click-Submit,9,0,1,1
2022-07-10,desktop,SRP,Search,Empty Result,1879,0,1,1
2022-07-10,tablet,SRP,Search,Empty Result,216,0,1,1
2022-07-10,mobile,SRP,Search,Empty Result,6394,0,1,1
2022-07-10,mobile,LDP,Conversion,Lead-SMS LDP,996,0,1,1
2022-07-10,tablet,LDP,Conversion,Lead-SMS LDP,10,0,1,1
2022-07-10,desktop,Legacy,Listing Creation,Click-Preview,1,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Save-Listings,31,0,1,1
2022-07-10,desktop,LDP,Engagement,Save-Listings,117,0,1,1
2022-07-10,tablet,LDP,Engagement,Save-Listings,18,0,1,1
2022-07-10,mobile,SRP,Engagement,Save-Listings,840,0,1,1
2022-07-10,tablet,SRP,Engagement,Save-Listings,24,0,1,1
2022-07-10,desktop,SRP,Engagement,Save-Listings,48,0,1,1
2022-07-10,mobile,LDP,Engagement,Save-Listings,529,0,1,1
2022-07-10,desktop,Legacy,Listing Management,Filter Listing,2,0,1,1
2022-07-10,mobile,LDP,Conversion,Lead-Email LDP,15,0,1,1
2022-07-10,desktop,LDP,Conversion,Lead-Email LDP,39,0,1,1
2022-07-10,tablet,LDP,Conversion,Lead-Email LDP,1,0,1,1
2022-07-10,mobile,SellerNet,Listing Creation,Click-Check Out,1,0,1,1
2022-07-10,desktop,SellerNet,Listing Management,Click-Edit Listing,1,0,1,1
2022-07-10,desktop,LDP,Listing Creation,Click-Post Listing,16,0,1,1
2022-07-10,desktop,Legacy,Listing Creation,Click-Post Listing,21,0,1,1
2022-07-10,mobile,Other Consumer Pages,Listing Creation,Click-Post Listing,65,0,1,1
2022-07-10,desktop,Other Consumer Pages,Listing Creation,Click-Post Listing,60,0,1,1
2022-07-10,desktop,SRP,Listing Creation,Click-Post Listing,53,0,1,1
2022-07-10,mobile,Legacy,Listing Creation,Click-Post Listing,8,0,1,1
2022-07-10,mobile,LDP,Listing Creation,Click-Post Listing,6,0,1,1
2022-07-10,mobile,SRP,Listing Creation,Click-Post Listing,50,0,1,1
2022-07-10,tablet,SRP,Engagement,Click-Search Guess,5,0,1,1
2022-07-10,mobile,SRP,Engagement,Click-Search Guess,153,0,1,1
2022-07-10,desktop,SRP,Engagement,Click-Search Guess,34,0,1,1
2022-07-10,mobile,Other Consumer Pages,Conversion,Lead-Company Phone,2,0,1,1
2022-07-10,desktop,Other Consumer Pages,Search,Click-Search Button,2377,0,1,1
2022-07-10,tablet,LDP,Search,Click-Search Button,31,0,1,1
2022-07-10,desktop,SRP,Search,Click-Search Button,9518,0,1,1
2022-07-10,tablet,Other Consumer Pages,Search,Click-Search Button,185,0,1,1
2022-07-10,desktop,LDP,Search,Click-Search Button,675,0,1,1
2022-07-10,mobile,Other Consumer Pages,Search,Click-Search Button,4051,0,1,1
2022-07-10,mobile,LDP,Search,Click-Search Button,441,0,1,1
2022-07-10,mobile,SRP,Search,Click-Search Button,24291,0,1,1
2022-07-10,tablet,SRP,Search,Click-Search Button,940,0,1,1
2022-07-10,mobile,LDP,Engagement,Navigate-LDP to PDP,1677,0,1,1
2022-07-10,mobile,Other Consumer Pages,Engagement,Navigate-LDP to PDP,2,0,1,1
2022-07-10,desktop,LDP,Engagement,Navigate-LDP to PDP,176,0,1,1
2022-07-10,tablet,LDP,Engagement,Navigate-LDP to PDP,47,0,1,1
2022-07-10,desktop,B2B,Engagement,Navigate-PDP to SRP,8,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PDP to SRP,1,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PDP to SRP,56,0,1,1
2022-07-10,tablet,B2B,Engagement,Navigate-PLP To PDP,4,0,1,1
2022-07-10,mobile,B2B,Engagement,Navigate-PLP To PDP,277,0,1,1
